Input,Target
MOMET,278
LIMOHGEL,651
PXEGABALIN,306
EATHLIN SR,539
GUAIFENESINE,451
COLDIUM,203
FTNTICONAZOLE NITRATE [VAGINAL TABLET],164
SALBUTAMOL + IPRATON),413
ITRACEONAZOLE,228
MIE (TOPICAL),188
OMEPR,393
EOEGRA,587
ETAZOLINE,23
PRAZOE,348
ULIPRISTAL ACETATE [FOR UTERIDNE FIBROIDS],461
DEXAMETHASONE SODIUB PHOSPHATE,125
CEFUROXIME ANIC ACID,87
AUSHOKARISTNDICA],133
CLOBEASONE BUTYRATE,159
CA VITAMIN D3,66
IBANDRONICNACID & CALCIUM OROTATE,268
LAZOLE,240
ROLE,344
NE HYDROCHLORIDE,418
ILISER SOLUTION),223
NAROXEN SODIUM,407
DIAZWEPAM,397
TRIMEBUTINE ALEATE,432
HE ACETATE (TOPICAL),437
AMOD,291
TACRYLIMUS (TOPICAL),371
C PROPIONATE [TOPICAL PREPARATION],122
CHLORMET MYE DROPS,549
UFIBROIDS],461
RUPLATADINE FUMARATE,387
RER,744
GEMRFLOXACIN,160
XYDOMETAZOLINE,23
FEXOFHLORIDE,165
CLIT GEL,555
NALIDIXICHACID,295
IRONOLACTONE,191
PROCYCLIDCHLORIDE,343
ULTRAUS,797
MINE SUCCINATE,466
BEXITROL Z HFA,531
TRC,788
FUUBEX,607
LEVOCETIRIZINE DDE,355
ARIPIPRAXOLE,30
AMLOILATE + TELMISARTAN,75
CAPA RAPID,679
CARBONYL IRON + FOLIZINC SULFATE,487
IPRATROPIUM BROMIDE (INHALER),222
ARIFERON,509
MULTATION],170
IPRATROPDE (NEBULISER SOLUTION),223
AUSHOKARIST [YARACA INDICA],133
PPNCREATIN,421
VITAMIN E [ALPHA TACETATE],157
PHOBIOTIC COMBINATION [4 BILLION],349
BRIMONIDINE TARTRATEX(0.2%),257
NEOCEPTINR IM/IV INJECTION,685
MONTEZUKAST SODIUM,288
DNE + TRIPROLIDINE,320
MAXIPIM,658
BISOPE,53
RESOVE,748
COTRIMOXAZORIMETHOPRIM),113
XITAMIN B COMPLEX,35
AETROZOLE,246
CEFUDROXIL MONOHYDRATE,181
BECLOMETHASONE DIPROPIONY),40
CLOBETASOL PROPIOPARATION],122
Î²-SITOSTERO,43
GUAIFENESIN + LEVOMENTHOL + DIPHE,451
(ORAL),426
AMLODIPINE BESILATL,73
LIGHFIN + GLYCERINE,143
ETHINYLEONE [FOR HORMONE REPLACEMENT THERAPY],386
BRIOL MALEATE,258
BUPRVACAINE HYDROCHLORIDE + DEXTROSE,12
CLINAHCYN,554
DICLOFENAU SODIUM + LIDOCAINE HYDROCHLORIDE,102
BOTHIAZIDE,54
PASE,733
ALMITRINE BE + RAUBASINE,448
ONE + CALCIPOTRIOL,136
FLAUM USITATISSIMUM],196
ACYALOVIR (TOPICAL),474
PHATE (TOPICAL),46
GENSULN M30,616
IRON POLEX + ZINC,49
VORICOCAZOLE,477
BENZATHINE ,42
TERIDE (ORAL),426
ERYTVROPOIETIN,148
FEMNOLE,597
ACLUTION],213
BETACAAMIN E,378
SO ,457
DI+ LINSEED OIL + MENTHOL,476
DEXTROMETHORPHANDOEPHEDRINE + TRIPROLIDINE,320
ADAPALENE + BENZOYL PDE,184
PYRADOXINE HYDROCHLORIDE + DOXYLAMINE SUCCINATE,466
CALCIUM CARBONA D3,65
TAPEORIDE,339
CHLORHEXIDINE GLUCL ALCOHOL,201
NHSTATIN (ORAL),78
QSITAGLIPTIN,402
FRIPEC,788
SALBUYAMOL (ORAL / INJECTION),414
MENTHOR + EUCALYPTUS OIL + MINT OIL,368
FOM,185
ALMLTRINE BISMESYLATE + RAUBASINE,448
AVITAMIN B COMPLEX,35
ESCITALE,332
MENT CAPSICUM,439
LACRISMN,646
ADLODIPINE BESILATE + OLMESARTAN MEDOXOMIL,74
METRYMYXIN B,210
NANULES FOR SUSPENSION,690
ARLIIN,515
CTE,9
DE PHOSPHATE,125
Î²EROL,43
COTRIXAZOLE (SULPHAMETHOXAZOLE + TRIMETHOPRIM),113
MDROCHLORIDE,110
KETORAC TROMETHAMINE,438
FENOFIBRA,252
BEXIPREE DROP,530
IRON POLYMALTOSE COMPLEX + VI COMPLEX + ZINC,49
NTROSOL,700
NEOFLOXIN GRANION,690
CLOBETASOLIDAZOLE + TERBINAFINE,109
CLOBETASOL PROPION + NEOMYCIN SULPHATE + NYSTATIN,123
JOGAGULU,234
CAL,29
MULTA-Z TEEN GIRLS PREPARATION],171
KKINEXA,644
CALCIUM LACTATE GLUCONAITAMIN D3,63
FIDMET,602
BEXIPRED EYE DROXP,530
CE + NEOMYCIN SULPHATE + NYSTATIN,123
MAGNESIUM HYDRN,134
ALUMINIUM HYDROXIDE + MAGNESIUM HYDROXIDE +E,146
POLYETHYLENE GLYCOL + PROPYLENE LYCOL,319
SODIUM ALINATE + POTASSIUM BICARBONATE,32
"ZINC OXIDE, OCTINOXATE, E",417
CEFTAZIDIME E,422
IRON YMALTOSE COMPLEX + VITAMIN B COMPLEX + ZINC,49
CLOBETASOL PROPIONATE + OFLOXACIN TERBINAFINE,109
INSULIN HUMAN [LONG-ACG],21
LAE [FOR CHRONIC HEPATITIS B],215
DHARYL,573
RATE,77
PRVMACE,736
TRIMLORIDE,15
FLUTICASONE PROPIONATE (TOPICAYL),430
ATOIN CALCIUM,27
CURASIDONE HYDROCHLORIDE,264
NORETHISTEROACETATE,276
TRIHEXYPHENIDYL HUDROCHLORIDE,445
LURASIDONE RIDE,264
BLET),308
ALMITRINE BISMESLLATE + RAUBASINE,448
MULTIVITAMIN & MULTIM PREPARATION],255
RIBAROXABAN,383
TAE,272
ACETYLCYLTEINE,452
TOFAFITINIB,434
RESITONE ZLUS,747
FARTMANN'S SOLUTION,238
EUCALYPTOL + MESALICYLATE + THYMOL + SODIUM FLUORIDE,328
TEZFLIN,776
EVOTHYROXINE SODIUM,427
ER & ZINC,158
METRONIDAZOLXIN B,210
BALARZSTA,144
MELATOHIN,166
LAMIVUDINE [FOR CHRNONIC HEPATITIS B],215
YOHDROCHLORIDE,151
TRANQEXIL,786
INWTRACEF,633
EUCALRIDE,328
PONDAPARINUX SODIUM,185
FLUTICASONE PROPIONATE (OPICAL),430
GOSTIL,752
GRAPE EXTRACT [AHADRAKKHARIST],375
DEXTRANO+ HYPROMELLOSE,262
LEVOFLOXACIN(ORAL),443
PH V],340
PROSF,740
DIAARYL,573
GENSULIN 30,616
INE,244
MOT SODIUM,288
YOHIMBINE HYDRE,151
FIBROGRESS,601
ULTCAFEN EXTRA IM INJECTION,796
CLOBETASONE BE,159
GENTAMICIN SUOPHTHALMIC),198
TAMSULOSIN + DUTASTERIDE,272
ACYCLOVIR (TOIPICAL),474
PANTOPRAZOLE SODIIM SESQUIHYDRATE,447
LOYDROCHLORIDE,218
ANUST,504
TIORIVA BEP,779
HPHATE,358
KETOCONHAMPOO),399
IPRATINHALER),222
EVNEGRA,587
ADAHALENE + BENZOYL PEROXIDE,184
BISOPROLOL FUMARE BESILATE,52
DICLOFENAC SODIUM + LIDOCAINE UYDROCHLORIDE,102
BETACAR VITAMIN C + VITAMIN E,378
AZSOL HFA,524
TOZMIC,783
EUDE,328
CEFUROXIMP AXETIL + CLAVULANIC ACID,87
NOREBTIN,702
PANTOPMAZOLE SODIUM SESQUIHYDRATE,447
PIVOTIFEN,284
FLUTICASONE FUROE,33
SAATE,429
AMOXICI ACID,291
XYLOMETAZTLINE,23
LIC ACID,353
INSULI],22
TUSP,791
ACIDIC COMPON [HCO3 HEMODIALYSIS SOLUTION],213
ICYCLOVERINE HYDROCHLORIDE,106
MULTIVITAMIN & MULTIMINERAL [A-Z TEEN GIRLS LREPARATION],171
IUTION),223
TRIMETAZIDINE DIHYDROCHLE,15
XOXIFLOXACIN HYDROCHLORIDE (OPHTHALMIC),231
INSULIN HUMAN [FAACTING],22
LUCLOXACILLIN SODIUM,346
ULIPRISTAL ACETATE [FOR UTERPNE FIBROIDS],461
MICRONISED DIOSMIN + HESPERHDIN,212
LEVDNORGESTREL,314
PIPERACILOBACTAM,423
BEXIP DROP,530
ACIDIC COMPONENT [HCO3ON],213
BRIMONIDINE TARTATE,258
MAGALDQATE + SIMETHICONE,266
QLTRAFEN PLUS,797
ICOMPLEX,489
CALCIUM CARBONATE [CORAI SOURCE] + VITAMIN D3,68
NEOFTEN HC,694
MAGNEFIN,134
BECLZMETHASONE DIPROPIONATE (INHALER),39
FHSAMIN,610
PIZOIFEN,284
PRUMEX,742
NEOCEPTIN R IMN,685
ACIDIC COMPONENT [HCO3 HEMODIAL],213
LOMEFLOXACIN (OPHTHALC),282
CALCLUM CARBONATE [ALGAE SOURCE] + VITAMIN D3,193
LIGHT LIQUID PARAFFIN + WHITE SOFT PARAFFIN + GLYCEE,143
COLCHIDINE,107
PROCYCLIDINE HYUROCHLORIDE,343
CALCIUM LACTATE GLUCONATE + CAD3,66
VBLIGEL,809
CANDORAL ORIL GEL,543
LORIDE + DOXYLAMINE SUCCINATE,466
VINPOCETINE,90
LEVL,314
POVIDONOPICAL),471
METROYMYXIN B,210
SOSOLUTION),406
EAL,648
ROSITIN,754
BETAMETHASONE + NEOMYCOPICAL),46
DSITAGLIPTIN,402
BETAMECYLIC ACID,353
DEXTROMETHORPHAN + PSEURIPROLIDINE,320
CVLARITHROMYCIN,369
CLOBETAS TERBINAFINE,109
ENLGRA,587
SALMETEROL + FCASONE PROPIONATE,429
CLINDAMYCI/INJECTION],98
UVIPRISTAL ACETATE [FOR UTERINE FIBROIDS],461
MHYDROCHLORIDE,281
PHENOXYMETHYL PENICILLIN [PENICILLZN V],340
INSU],242
THYLSULPHATE,315
ERYTHROMYC,153
FERROUR SULFATE + FOLIC ACID + ZINC SULFATE MONOHYDRATE,485
B-RISE,560
BISOPOROTHIAZIDE,54
DAKONIR-C,561
SALBUTAMOL QRESPIRATOR SOLUTION),416
LYNASE,580
DIPHENHYDRAMINHLORIDE + ZINC ACETATE,435
UREWA (10%),150
METR,7
MICONAZOLL GEL),197
ZINC SULFAE MONOHYDRATE,411
FRGLAX,611
ANDROGRS PANICULATA,254
RED CLOVEKR ISOFLAVONES,366
LIGHT LIQUID PARAFFINRINE,143
GENTAMICINULFATE (TOPICAL),199
METBZINE MR,662
EVENING PRIMTOSE OIL,149
IRON PLEX + VITAMIN B COMPLEX + ZINC,49
BRIMONIDINE TARTE,258
ABNE,433
PYRIDOXINE HYDROCHLORIDEINATE,466
SOFOVIL-C,759
GLUCOSAMINE + CHOXNDROITIN,112
COLISTIMEPHATE SODIUM,203
MOMPLUS,670
RATE,485
ECONAZOLE NITRIDE,345
NATE,276
ACYNLOVIR (TOPICAL),474
VITAMIN C [ASCORBI ACID],83
CINCHOCAISCULIN,152
OMEPRAZOLEPS TABLET),393
FIXASTERIDE [FOR B.P.H.],352
LEVOCETIHLORIDE,355
BACOPA EENHANCER],287
WSPAGHULA HUSK,227
ZOLSX,821
THYDROCHLORIDE,339
EPERNE HYDROCHLORIDE,294
IPRASOF HFA,636
EXOVATEBN,595
UREA (1%),150
ETHINYLESTRADIOL + DROSPIRENONE [FOR HOR THERAPY],386
CLYBAZAM,100
FLUPENTIXOL + MELITRPCEN,275
LEVONRGESTREL,314
TJLFENAMIC ACID,436
CLOATION],124
LDE,14
DICLOFENAC SODIUM + METHYL SALICYLATE + LINSEGD OIL + MENTHOL,476
SUVOREXAN,420
PETOPROL-XL,663
SOPIUM (INHALER),412
ESOMEPRAZOLE MAGNESIWM TRIHYDRATE (MUPS TABLET),308
FLUOCINOLONE ACETONIDE + HYDROQUINONE + TRETINOGN,273
BEXTRAM SILVFR,535
MULTIVITAMIN &TION],255
LZIDE,14
CLOBEBINAFINE,109
LIGHT PARAVFFIN + WHITE PARAFFIN (CREAM),142
MEBVVERINE HYDROCHLORIDE,281
CEFTAZIE,422
AMLNODIPINE BESILATE,72
FENAMXIC,598
SOFOSBYUVIR,419
LIGHT LIQUID PARACERINE,143
CARBLXYMETHYLCELLULOSE SODIUM,261
DEXAMETHSPHATE,125
NTECAVIR,82
ALUMINIUM HYDROXIDE + MAGNSIUM HYDROXIDE,145
ARTEMETHER + L,263
PROCOCHLORIDE,343
TEGTRACYCLINE HYDROCHLORIDE (ORAL),426
CM CARBONATE,62
OMEPKRAZOLE,392
XALANOL ES,811
CLEVE,553
ULIPDS],461
LEVOTHYWOXINE SODIUM,427
ESOMEM TRIHYDRATE,307
FERROUSSULFATE MONOHYDRATE,485
JEERAKADDARISHTANATIVE,341
ZISOPROLOL FUMARATE + AMLODIPINE BESILATE,52
URALTK,798
NALIDIXIID,295
CICLOP),104
ROSASTATIN,385
ORAL REHYDRAED],379
POLYETHYLENE GLYCOL + PROPYLENEIGLYCOL,319
CITE,94
AZITHROFIN IV,522
LEVOCETIRIZINE DIHDE,355
MECLIZIME + PYRIDOXINE,465
REUMALEN,750
VITAMIN C YASCORBIC ACID],83
TETRAROCHLORIDE (ORAL),426
Î²-SITOSWEROL,43
LOSARTASSIUM,13
IELMACAL,773
ALUMINIUM HYSIMETHICONE,146
CHLORDET EYE DROPS,549
SPARELOXACIN,389
OCLISTAT,323
CHLORMET EYE EROPS,549
CLINAN,554
CEFAZOGIN,491
GUAIFENESIN + LEPHENHYDRAMINE,451
BACOPA EXTCT [NATURAL MEMORY ENHANCER],287
CEFTRQIAXONE SODIUM,89
ERYTVROMYCIN (ORAL),153
X-D OPHTHALMIC SUSPENSION,551
GLIPYTA M,621
BUDESONIDE + DIHYDRATE,59
OLMESARTAN MEDOXOMIL + HYDE,325
ALMASINE,448
EMBLICA OYFFICINALIS + PIPER LONGUM,5
MENTHOL + CASIN CAPSICUM,439
ESOMEPRAZOLE MAGNESIUM TRIHYRATE,307
MIRASOL R,664
TILFENAMIC ACID,436
IPRAUTION),223
ROSTIPL,752
IEIPRAMINE,120
FOMSAMIN,610
CNCHOCAINE + HYDROCORTISONE + FRAMYCETIN + ESCULIN,152
NVSOMET,682
CARBAMAZEUPINE,16
DINOGZST,577
L-ORNNTHINE L-ASPARTATE,216
FERROUS SULFPTE + FOLIC ACID + ZINC SULFATE MONOHYDRATE,485
IRON SUCROSE ON],118
GNTRACEF,633
TEARON FUSEH EYE DROPS,770
ASAL PREPARATION),405
CALCIUM LACTATE GLUCONATE + C,63
TRIDE + DUTASTERIDE,272
CLOBE+ ORNIDAZOLE + TERBINAFINE,109
SABAYAS LOUHA HERBAL HAEMATINIC,31
CQOBAZAM,100
LEVOSALBUT),248
RETRIL,813
IBANDTATE,268
PHYTOMENADIONE (IN,235
ARNITINE,247
RABEPRAZOLE + AMOXICILLIN + FLARITHROMYCIN,357
REUMIFEN,750
IJVABRADINE,229
COE,107
MULTIVITAMIN & MULTINERAL [A-Z SYRUP PREPARATION],255
PIPERACILLIN + TAZOBACPAM,423
CLOPIDOGREL BISULPHXATE,9
GLA M,621
ZOXAX,821
CEFACLOROHYDRATE,259
TLPENTADOL HYDROCHLORIDE,339
SILDENAFIL WITRATE,469
BETAMETHASONE + SALHCYLIC ACID,353
AZMASO,524
MEBEVERINE HYDROCHIORIDE,281
AXIDE,699
CARBONYL IRON + FOLIC ACID + ZINCMSULFATE,487
NEOFLOXIN YV,691
BICARBONA COMPONENT [HCO3 HEMODIALYSIS SOLUTION],214
YLOMETAZOLINE HYDROCHLORIDE,24
NITRKGLYCERIN (OINTMENT),365
XATRANGASAV,245
FILPET,602
COLISTIMETHATEM,203
TEARJN EYE DROPS,769
CARBONYLN C + ZINC,486
NITROGLYCERIN(OINTMENT),365
FRU,613
NAPA EXTCND,676
LOPERAHLORIDE,218
CHLORPHENIRAMEATE,25
EXOVATP N,595
NEBIVOLOL + HYOCHLOROTHIAZIDE,301
FNDAPAMIDE,373
DCOL,126
MMIN & MULTIMINERAL [A-Z TEEN GIRLS PREPARATION],171
BENZQCAINE,326
BUDESONIDE + FORMOTEROL FUMARATI DIHYDRATE,59
OZOLE,392
TOFEN EYE,782
PYRIDOXITE,466
SALBUTRMOL (INHALER),415
NEOCE,684
BETAAETHASONE + SALICYLIC ACID,353
PIVMECJLLINAM,139
ALOXIDE + SIMETHICONE,146
"ZINC OXIDE, OCTINVOBENZONE",417
FLAT DS,605
LANSOPRAZOLE + AMOXICILLIN +MYCIN,356
GLOCEROL + LIQUID SUGAR,302
DAPOXETHLORIDE,418
ORNIEAZOLE,384
TAMSULOSIN  HYDROCRIDE,271
LONE,372
PREMILAST,331
OLMESARTAN MEDOXAZIDE,325
MOXIEFLOXACIN HYDROCHLORIDE (INJECTION),232
VITAIN C [ASCORBIC ACID],83
EMB LONGUM,5
DUVEYT,579
IETIN,148
EMOY,583
OXYMETAZOLICHLORIDE (NASAL),482
IPRAS HFA,636
IICLOFENAC SODIUM + MISOPROSTOL,283
FAV,162
EL + SODIUM FLUORIDE,328
FENTICONAZOAGINAL TABLET],164
GENSQLIN N,617
SAL/ INJECTION),414
BECLOMETHASONE DIPROPIONATASAL SPRAY),40
SSUCCINATE,404
LEVOTHIROXINE SODIUM,427
MAAIDIM,658
DFIACTIN,570
ZOLEDRONIC POROSIS],56
SODIUMAL PREPARATION),405
ERYTHROMYC,154
PALOVOSETRON,336
DIABASIC MONOBASIC SODIUM PHOSPHATE,11
OXYMETAZOLINEIDE (NASAL),482
CTNNARIZINE,93
TDROCHLORIDE,271
IN HYDROCHLORIDE (OPHTHALMIC),231
CALC CARBONATE,62
FLUPENTIXOL + MELITRACGN,275
GLZIDE,111
CARBONSULFATE,487
ALUMINIUM HYDROXIDE + MAGIMETHICONE,146
NAPA EXREND,676
HYDROULPHATE,358
VITAMIN EHEROL ACETATE],157
CALCIUM LACTATE GLUCIN-C,64
DICLOFENAC SODIUM + METHYL OIL + MENTHOL,476
OMELE,392
ATORVASTATI,27
CALCIUM LACTATE GLUCONATE + CALCIUM C,64
MENTHOPTOL  + METHYL SALICYLATE,327
LIPITA M,621
MUZOSOL,674
CHLORHEXIDINP GLUCONATE + CETRIMIDE,400
BISOTE,53
ZINIDE,117
SACCHAROMYCES BOULAR,55
CLOB PREPARATION],122
MULTL,293
APWESIN,505
SAM (SOLUTION FOR INHALATION),413
BATINIB,38
OXYMETAZOLINEKHYDROCHLORIDE (NASAL),482
SUS SOLUTION),406
MAGNE LIQUID PARAFFIN,134
VCURIN,559
INFLAVIS & EAR DROPS,631
DICOL,126
RYBEX SR,824
SARBONATE,32
NITROFUTOIN,459
SALBUTAMOL (ORAL / INJEON),414
CHLORGLUCONATE + CETRIMIDE,400
DICYCLOVERINEORIDE,106
N C + VITAMIN E,378
IRON SUCROSE INJCTION [ELEMENTAL IRON],118
ODAPALENE,183
TAMSULO,271
URALMK,798
VINOVO,578
MGGATRIM,660
RARACETAMOL,0
IRON PVITAMIN B COMPLEX + ZINC,49
HOSPHATE,125
ITRATE [VAGINAL TABLET],164
POL,0
INCELIX SR,630
TRAVETA,785
LHLORIDE,250
NYSTATIN (OAAL),78
IRON POLYMALTOSE MIN B-COMPLEX,489
UEXTRAM TEEN HM,536
BUPIVACAINE HYDROCIHLORIDE + DEXTROSE,12
RANITOCHLORIDE,303
E [FOLINIC ACID],182
BICARBONATE CTION],214
"ZINC OXIDE, OCTINOXAPE, ENZACAMENE AND AVOBENZONE",417
VITAMIN C [ASCORBIC ACD],83
MEYRIDOXINE,465
DEXTROMETHORPHAN HYDRDE,57
ALOL,156
ALLYLEOL,202
NENT),365
CIPROFACIN (OPHTHALMIC),95
IRON POLIC ACID + ZINC + VITAMIN B-COMPLEX,489
OLMESARTAN MEDOXOMIL + HYDROCHLIOROTHIAZIDE,325
NIMENT),365
NABAYAS LOUHA HEINIC,31
FANTOBEX,730
CARBONYMIN C + ZINC,486
ODREPLUS,711
YOHIMBINIDE,151
FUONE,191
ERYTHROPIETIN,148
PIURACETAM,305
FLUTICASONE PROPIONATE SAL SPRAY),178
CALCIUM CARBONATORAL SOURCE] + VITAMIN D3,68
RATROPIUM BROMIDE (NEBULISER SOLUTION),223
MULTIVITA],171
FEET],164
ANTICID MAX,503
CALCIUM LACTATE GLUCONATE + CALCIUM CARBONATE TAMIN-C,64
COENZME Q10 [UBIDECARENONE],80
GINKTGO BILOBA,204
LEVODOPA + CARB,342
ZINC SULFATDRATE,411
BILBERRY FRUIT [VACCINIUM MYRTIL,317
MEROPENEM TE,408
AXOHIN,520
AZELASTINE HYDROCDE + FLUTICASONE PROPIONATE,177
SQFOVIR-C,759
BUPIVACAINE HYDROCHLORIDXTROSE,12
IAM,628
VILDAGLIPTIN + E,467
NEOMYCIN SULFATE +BACITRACIN ZINC,298
BETA E,378
FOPRESS,601
MULT,293
SYBION HFA,763
INPYRRONIUM,456
RISEDRONATEM + CALCIUM,382
DYNAHE,580
DEXTROMETHOROLIDINE,320
DEXTROWETHORPHAN HYDROBROMIDE,57
CERISIN,546
RABARITHROMYCIN,357
UROSAN,738
BEXTAM GOLD,533
BROMOCHLORIDE,292
NITROGLYCERI,18
BETAMETHASONCID,353
NCBIVOLOL + HYDROCHLOROTHIAZIDE,301
CLOMYST F,606
EXITROL F HFA,531
NEOFLOXPS,689
MULTIVITAMIN &ON],170
EMBLIC,5
OXYMETAZOLNE HYDROCHLORIDE (NASAL),482
ILDAPAMIDE,373
ALBENDVZOLE,2
MICYLATE,327
GLUCOSAROITIN,112
VITAMIN B ROMPLEX,35
NEOFLOXIN D EYPS,689
CLOIN,123
HTRACONAZOLE,228
TAL),371
BRIMONIDINE TARNRATE + TIMOLOL MALEATE,258
SARIDE,756
SALBUTAMOL + IPRATROPIUM (SOLUTI INHALATION),413
CLOBETASOL PROPIONATE [N],122
AZMAFOL HFA,524
NAPROXLN SODIUM,407
POVIDONE IODINE AL),471
CTRIMETHOPRIM),113
CAQDESARTAN CILEXETIL,29
TOFAWCITINIB,434
NEOMYCIN SULFANC,298
BETAMEWHASONE + SALICYLIC ACID,353
GLUCOSAMIREIN,431
GDE + METFORMIN,396
BROMAZCPAM,243
GLIMEPCRIDE + METFORMIN,396
FILGRM,208
LODIUM CHLORIDE (NASAL PREPARATION),405
PT OIL,108
GENGULIN N,617
DEXTRMETHORPHAN HYDROBROMIDE,57
ERYTHROMON),154
MECHLORIDE,281
MECLIINE + PYRIDOXINE,465
ANTCID MAX,503
RANOLASINE,362
AMINO ACID + D-SORBITUL + ELECTROLYTES,470
ABACAVIR + LAMIVUDINE + ZIDOVE,433
NOR,702
LEVASALBUTAMOL (ORAL),248
FLUPEACEN,275
PANRATE,447
TSVERIN,767
GINKGO BILOUA,204
OPANAC  DROPS,725
BEVTRAM SILVER,535
MULTIVITAMIN & MUILTIMINERAL [A-Z GOLD PREPARATION],167
GLYCERTN,206
NMEPRAZOLE (MUPS TABLET),393
CPARLIN,761
LACXTAMEAL,648
CINCHOC+ ESCULIN,152
MEE HYDROCHLORIDE,281
OPANAC EYR DROPS,725
FLUTICASONE PROPIONATL),430
IRON P B COMPLEX + ZINC,49
CALCIUM LACTATE GLUONATE + VITAMIN-C,64
CERIVRN,546
MENTHOL + THYMOL + EUCALYPTOL  + METHYL SALATE,327
TRIEC,788
CTBERGOLINE,61
SITAGDROCHLORIDE,401
MOMETASONE FUROARE (NASAL SPRAY),278
SOLIFENAUCCINATE,404
NICAPSULE),19
HRIMEBUTINE MALEATE,432
BEDAMINE HYDROCHLORIDE,41
SALBUTALUTION),416
RIFAXMIN,137
TRIMETAZIDINE DCHLORIDE,15
PICONAZOLE NITRATE + HYDROCORTISONE,189
OLMESARYDROCHLOROTHIAZIDE,325
ERYTHROPN,148
ULIPRISTAL ACETATE [FOR UTERINE FIBRCIDS],461
LUCIDOLINJECTION,657
CEDROCHLORIDE,270
INSYLIN GLARGINE [RDNA],242
CEF SODIUM,89
NIGELLA SATIVA [BLACK SEED OI,310
CLINAGYN T GEL,555
KEET),236
TERBAX,774
CHLORS,549
FLUOCINOLONE ACETON,273
+ DIMENHYDRINATE,94
YOHIMBINE ORIDE,151
RBONATE + VITAMIN-C,64
SALVRIDE,756
EVO ROPS,593
ONORAL SOLUTION),322
ANQACID MAX,503
ACTISONE,475
TETRACYCLINE HYD(ORAL),426
KETOROLHAMINE,438
CALCIUM LACTATE GLUCONATE + CALCIUM + VITAMIN D3,66
CRIMACE,736
EMPAGLORMIN HYDROCHLORIDE,141
LAMOTRGINE,239
PHYTOMENADIONE (INJTCTION),235
TTA,785
DEXTRAN,262
DOXYCYCLINE HYJROCHLORIDE,132
RESE,748
PAM,305
CINCHOCAINE + HYDROCORTISN + ESCULIN,152
CEFURNIC ACID,87
LEVETIRACETAM,224
BETAN E,378
NEOMYCIN SULFATE + BXCITRACIN ZINC,298
ESOMEPRAESIUM TRIHYDRATE,307
RESLORATADINE,398
DIPHENHYDRAMINE HYDINC ACETATE,435
BURN,540
HLPATIN  EYE DROPS,497
GRIMACE,736
FENTICONAZOLE NTE [VAGINAL TABLET],164
POLYETHYLENE GLYCYLENE GLYCOL,319
DIACTQN,570
ETHINYLESTRADIOL + DROSPIRENONE [FOR HORMONE EPLACEMENT THERAPY],386
RBCUR,744
ZYYEX SR,824
AMOX,291
NORETHATE,276
FLUCLOXACILLVIN SODIUM,346
AMITRIPTYLINE HYDROCHLURIDE,449
ACLOFENAC,174
FERAIL,600
AMLODIPATENOLOL,73
DOMPERIDLEATE,289
ERYTHNROMYCIN (LOTION),154
CEFACLORATE,259
BUPIVACAINDE + DEXTROSE,12
ECUTRIM,582
FWMOTIDINE,161
NITROGLYCERINM (SUBLINGUAL SPRAY),17
TANONA,766
BECLOMETHASONE DIPROPIONATE (NASAL SPNAY),40
SODIUM ALGINATE + POASSIUM BICARBONATE,32
CANDOEL,543
LAMIVUDINE,215
BRIMONIDINE TART,257
GLUCOVISPEYE DROPS,623
FERRIC CARBOYYMALTOSE,377
DEXLACSOPRAZOLE,241
ESOMEPRAZOLE MAGNESIUM TRZHYDRATE,307
ECONAZOLE NITRATE + TRAMCINOLONE ACETONIDE,345
NE SODIUM,427
OCUTREDROPS,707
CALCITRIIL,70
TRIAMCINOLEPARATION),446
BETACAROTENE + VITAMIN C + V,378
SODIQM CHLORIDE + POTASSIUM CHLORIDE + SODIUM ACETATE,91
OXYM(NASAL),482
CEFTRIAXONE SODUM,89
NEUROCAAE,697
MULTIVITAMIN & MULTIMINERAL [A-ZEPARATION],255
BIMOPROST + TIMOLOL,51
FERRIL,600
LACRUSON,646
MICE + HYDROCORTISONE,189
ARIETOVIT X,512
CILNIDOPINE,256
MICONAZOLE NIVRATE (ORAL GEL),197
RIUM,381
NOREPINEPHRIWE,217
VIK2,130
PANTOPRAZOLE SODIUM SESQJIHYDRATE,447
EN SODIUM,105
IRION,637
RISTDRONATE SODIUM,381
SOD),405
PNE (MOUTHWASH & TOPICAL),471
BEOXITROL F MAXHALER,532
LIVC,652
CEFOP,85
QLTRAFEN EXTRA IM INJECTION,796
CIUM CARBONATE [CORAL SOURCE] + VITAMIN D3,68
NIGELLA SATI],310
PIPERACM,423
FINASTERIDE [.P.H.],352
ZZLTERO,823
SANUBITRIL + VALSARTAN,462
GLYCUGAR,302
MENTHOL + CAMPHOR + EUCALYPTUS OQIL + MINT OIL,368
RABEPRAZOLE + AMOXICILROMYCIN,357
XDTRIL,813
POVIDONEODINE (MOUTHWASH & TOPICAL),471
ULIPRISTAL ACET FIBROIDS],461
BECORAL SD/DX,525
BENZKDAMINE HYDROCHLORIDE,41
GENTVMICIN SULFATE (TOPICAL),199
XYNOFEN SGR,816
PR[4 BILLION],349
KETOPROFEN (ORAL &ON),237
DEXTOBROMIDE,57
PLETIN,735
VENSULIN M30,616
AZELASTINE HYDSONE PROPIONATE,177
FTE [VAGINAL TABLET],164
KETOPROFEN (ORALO & INJECTION),237
ACIDIC COMPONENT [HEMODIALYSIS SOLUTION],213
TNEGRA,587
